observation_date,REV7132TMSA
2009-01-01,6160
2009-04-01,5871
2009-07-01,5969
2009-10-01,5517
2010-01-01,5668
2010-04-01,5971
2010-07-01,5784
2010-10-01,5997
2011-01-01,5899
2011-04-01,6035
2011-07-01,6165
2011-10-01,6088
2012-01-01,6138
2012-04-01,5956
2012-07-01,6109
2012-10-01,6167
2013-01-01,6133
2013-04-01,6189
2013-07-01,6100
2013-10-01,6246
2014-01-01,5984
2014-04-01,6066
2014-07-01,6225
2014-10-01,6220
2015-01-01,6203
2015-04-01,6180
2015-07-01,6044
2015-10-01,6240
2016-01-01,6342
2016-04-01,6199
2016-07-01,6170
2016-10-01,6122
2017-01-01,6320
2017-04-01,6369
2017-07-01,6514
2017-10-01,6365
2018-01-01,6428
2018-04-01,6632
2018-07-01,6824
2018-10-01,6984
2019-01-01,7039
2019-04-01,7210
2019-07-01,7231
2019-10-01,7309
2020-01-01,6464
2020-04-01,3477
2020-07-01,6545
2020-10-01,6255
2021-01-01,7442
2021-04-01,7671
2021-07-01,7663
2021-10-01,7861
2022-01-01,8038
2022-04-01,8494
2022-07-01,9030
2022-10-01,9843
2023-01-01,10050
2023-04-01,9737
2023-07-01,10407
2023-10-01,10063
2024-01-01,10139
2024-04-01,10395
2024-07-01,10314
